,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,0.4,1.0,0,1,0,0.0
1,0.4,1.0,1,1,1,0.0
2,0.4,1.0,2,1,1,0.0
3,0.4,1.0,3,0,0,6.077163357286273e-64
4,0.4,1.0,4,0,0,1.0
5,0.4,1.0,5,0,0,1.0
6,0.4,1.0,6,0,1,0.0
7,0.4,1.0,7,1,1,1.0
8,0.4,1.0,8,1,0,0.0
9,0.4,1.0,9,1,0,1.0
10,0.4,1.0,10,1,1,0.0
11,0.4,1.0,11,0,1,0.0
12,0.4,1.0,12,0,1,0.0
13,0.4,1.0,13,1,1,0.0
14,0.4,1.0,14,0,1,0.0
15,0.4,1.0,15,1,1,6.077163357286273e-64
16,0.4,1.0,16,1,1,1.0
17,0.4,1.0,17,0,0,0.0
18,0.4,1.0,18,0,0,6.077163357286273e-64
19,0.4,1.0,19,0,1,0.0
20,0.4,1.0,20,1,1,0.0
21,0.4,1.0,21,1,1,1.0
22,0.4,1.0,22,1,0,1.0
23,0.4,1.0,23,0,0,1.0
24,0.4,1.0,24,0,1,1.0
25,0.4,1.0,25,0,1,6.077163357286273e-64
