,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,1.0,0.8,0,0,0,1.0
1,1.0,0.8,1,0,0,1.0
2,1.0,0.8,2,1,1,1.0
3,1.0,0.8,3,0,0,1.0
4,1.0,0.8,4,1,1,1.0
5,1.0,0.8,5,1,1,1.0
6,1.0,0.8,6,0,0,1.0
7,1.0,0.8,7,0,0,1.0
8,1.0,0.8,8,0,1,0.0
9,1.0,0.8,9,0,0,1.0
10,1.0,0.8,10,0,0,1.0
11,1.0,0.8,11,1,1,1.0
12,1.0,0.8,12,0,0,1.0
13,1.0,0.8,13,0,0,1.0
14,1.0,0.8,14,1,1,1.0
15,1.0,0.8,15,0,0,0.0
16,1.0,0.8,16,1,1,1.0
17,1.0,0.8,17,1,1,1.0
18,1.0,0.8,18,0,0,1.0
19,1.0,0.8,19,1,0,0.0
20,1.0,0.8,20,0,0,1.0
21,1.0,0.8,21,1,1,0.0
22,1.0,0.8,22,0,0,1.0
23,1.0,0.8,23,0,0,1.0
24,1.0,0.8,24,1,1,1.0
25,1.0,0.8,25,0,0,1.0
26,1.0,0.8,26,0,0,1.0
27,1.0,0.8,27,1,1,0.0
28,1.0,0.8,28,1,1,1.0
29,1.0,0.8,29,0,0,0.0
30,1.0,0.8,30,0,0,1.0
31,1.0,0.8,31,1,1,1.0
32,1.0,0.8,32,0,0,1.0
33,1.0,0.8,33,1,1,1.0
34,1.0,0.8,34,1,1,1.0
35,1.0,0.8,35,0,0,1.0
36,1.0,0.8,36,1,0,0.0
37,1.0,0.8,37,1,1,0.0
38,1.0,0.8,38,1,1,1.0
39,1.0,0.8,39,1,1,1.0
40,1.0,0.8,40,0,0,1.0
41,1.0,0.8,41,0,0,1.0
42,1.0,0.8,42,0,0,1.0
43,1.0,0.8,43,1,1,1.0
44,1.0,0.8,44,1,0,0.0
45,1.0,0.8,45,0,0,1.0
46,1.0,0.8,46,0,0,1.0
47,1.0,0.8,47,1,1,1.0
48,1.0,0.8,48,0,0,1.0
49,1.0,0.8,49,0,0,1.0
50,1.0,0.8,50,1,1,1.0
51,1.0,0.8,51,0,0,1.0
52,1.0,0.8,52,0,0,0.0
53,1.0,0.8,53,0,0,1.0
54,1.0,0.8,54,1,1,0.0
55,1.0,0.8,55,1,1,1.0
56,1.0,0.8,56,1,1,1.0
57,1.0,0.8,57,1,1,1.0
58,1.0,0.8,58,0,0,1.0
59,1.0,0.8,59,1,1,1.0
60,1.0,0.8,60,1,1,1.0
61,1.0,0.8,61,1,1,0.0
62,1.0,0.8,62,1,1,1.0
63,1.0,0.8,63,1,1,0.0
64,1.0,0.8,64,0,0,1.0
65,1.0,0.8,65,0,0,1.0
66,1.0,0.8,66,1,1,1.0
67,1.0,0.8,67,1,1,1.0
68,1.0,0.8,68,1,1,1.0
69,1.0,0.8,69,1,1,1.0
70,1.0,0.8,70,0,0,1.0
71,1.0,0.8,71,1,1,1.0
72,1.0,0.8,72,1,1,1.0
73,1.0,0.8,73,1,0,0.0
74,1.0,0.8,74,0,0,1.0
75,1.0,0.8,75,1,1,0.0
76,1.0,0.8,76,0,0,1.0
77,1.0,0.8,77,1,1,1.0
78,1.0,0.8,78,1,1,1.0
79,1.0,0.8,79,0,0,1.0
80,1.0,0.8,80,0,0,1.0
81,1.0,0.8,81,1,1,1.0
82,1.0,0.8,82,0,0,1.0
83,1.0,0.8,83,1,1,1.0
84,1.0,0.8,84,0,0,1.0
85,1.0,0.8,85,1,0,0.0
86,1.0,0.8,86,0,0,0.0
87,1.0,0.8,87,0,0,1.0
88,1.0,0.8,88,0,1,0.0
89,1.0,0.8,89,0,0,1.0
90,1.0,0.8,90,1,1,1.0
91,1.0,0.8,91,0,0,0.0
92,1.0,0.8,92,1,1,1.0
93,1.0,0.8,93,1,1,1.0
94,1.0,0.8,94,1,1,1.0
95,1.0,0.8,95,0,1,0.0
96,1.0,0.8,96,1,1,1.0
97,1.0,0.8,97,1,1,1.0
98,1.0,0.8,98,0,0,1.0
99,1.0,0.8,99,0,0,1.0
,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,1.0,0.8,0,1,1,1.0
1,1.0,0.8,1,0,0,1.0
2,1.0,0.8,2,0,0,1.0
3,1.0,0.8,3,0,0,0.0
4,1.0,0.8,4,0,0,1.0
5,1.0,0.8,5,0,0,0.0
6,1.0,0.8,6,0,0,1.0
,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,1.0,0.8,0,1,0,0.0
1,1.0,0.8,1,1,1,1.0
2,1.0,0.8,2,1,0,0.0
,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,1.0,0.8,0,1,1,1.0
1,1.0,0.8,1,1,1,1.0
,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,1.0,0.8,0,1,0,0.0
1,1.0,0.8,1,1,1,0.0
,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,1.0,0.8,0,0,0,1.0
1,1.0,0.8,1,0,0,0.0
