,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
0,1.0,0.0,0,0,1,0.0
1,1.0,0.0,1,1,0,0.0
2,1.0,0.0,2,0,0,0.4999999999999999
3,1.0,0.0,3,1,0,0.0
4,1.0,0.0,4,0,0,0.49999999999999994
5,1.0,0.0,5,0,1,0.0
6,1.0,0.0,6,0,0,0.4999999999999999
7,1.0,0.0,7,0,0,0.4999999999999999
8,1.0,0.0,8,0,1,0.0
9,1.0,0.0,9,1,1,0.4999999999999999
10,1.0,0.0,10,1,1,0.49999999999999994
11,1.0,0.0,11,0,0,1.9626155733547187e-17
12,1.0,0.0,12,1,1,0.4999999999999999
13,1.0,0.0,13,1,1,0.0
14,1.0,0.0,14,0,0,0.49999999999999994
15,1.0,0.0,15,1,1,0.4999999999999999
16,1.0,0.0,16,0,1,0.4999999999999998
17,1.0,0.0,17,0,0,-1.9626155733547187e-17
18,1.0,0.0,18,1,1,0.0
19,1.0,0.0,19,1,1,0.0
20,1.0,0.0,20,1,1,0.0
21,1.0,0.0,21,0,0,0.4999999999999999
22,1.0,0.0,22,1,0,0.0
23,1.0,0.0,23,1,0,0.0
24,1.0,0.0,24,1,0,0.49999999999999994
25,1.0,0.0,25,0,0,0.4999999999999999
26,1.0,0.0,26,0,0,-1.9626155733547187e-17
27,1.0,0.0,27,0,1,0.49999999999999994
28,1.0,0.0,28,0,1,0.0
29,1.0,0.0,29,1,1,0.49999999999999994
30,1.0,0.0,30,0,0,0.49999999999999994
31,1.0,0.0,31,1,0,0.49999999999999994
32,1.0,0.0,32,1,0,0.4999999999999999
33,1.0,0.0,33,1,0,0.49999999999999994
34,1.0,0.0,34,1,0,0.49999999999999994
35,1.0,0.0,35,0,1,-1.9626155733547187e-17
36,1.0,0.0,36,0,0,0.0
37,1.0,0.0,37,0,0,0.0
38,1.0,0.0,38,0,1,0.4999999999999999
39,1.0,0.0,39,1,0,0.49999999999999994
40,1.0,0.0,40,1,1,0.4999999999999999
41,1.0,0.0,41,0,0,0.4999999999999999
42,1.0,0.0,42,1,1,0.4999999999999999
